id,ident,nome,descricao,dt_inicial,dt_final,progresso,dependencias,date_added,date_update,cronograma_id
1,1,Regularização de Projetos,Regularização de projetos em prefeitura,2020-12-29,2021-03-01,100,-,2020-12-28 22:55:29.101236,2021-01-12 20:40:24.643058,1
2,2,Terraplanagem,Terraplanagem com bota-fora,2021-03-02,2021-03-31,0,1,2020-12-28 22:58:00.851176,2020-12-28 23:00:57.734738,1
3,1,Projeto de Regularização,"Para que você consiga realizar a regularização do imóvel você vai precisar dos seguintes documentos:

    Projeto de Regularização;*
    Registro de Responsabilidade Técnica (RRT) do profissional;*
    Matrícula do terreno ou contrato de compra e venda;
    Documentos pessoais;
    Número da Inscrição Cadastral do Terreno (IPTU).

*Documentos providenciados pelo profissional responsável.",2021-01-01,2021-03-25,0,-,2020-12-31 20:16:23.621719,2020-12-31 20:35:42.600161,3
4,2,Serviços Preliminares,"Topografia do terreno;
Sondagem;
Limpeza do terreno;
Movimento de terra, necessário para a obtenção do nível de  terreno desejado para o edifício;
Verificação da disponibilidade de instalações provisórias;
Verificação das condições de vizinhança;
As demolições, quando existem construções remanescentes no local em que será construído o edifício;
A retirada de resíduos da demolição.",2021-03-26,2021-05-21,0,1,2020-12-31 20:29:12.060106,2020-12-31 20:33:07.292986,3
5,3,Fundação,Fundação completa com impermeabilização.,2021-05-22,2021-07-23,0,2,2021-01-04 20:14:19.189100,2021-01-04 20:14:19.189131,3
6,4,Estrutura,Estrutura convencional de pilates e vigas,2021-07-24,2021-10-29,0,3,2021-01-04 21:20:49.526698,2021-01-05 00:02:19.612131,3
7,5,Alvenaria de Vedação,Alvenaria de vedação com blocos de concreto,2021-10-30,2022-01-13,0,4,2021-01-04 23:56:03.586943,2021-01-04 23:56:03.586969,3
8,6,Cobertura,Cobertura com telha shingle.,2021-10-30,2022-02-01,0,4,2021-01-05 21:40:10.118737,2021-01-10 20:17:02.334384,3
9,1,Entrada de Dados,Entrada de Dados,2021-01-11,2021-01-20,84,-,2021-01-10 16:23:24.679003,2021-01-12 21:08:27.146090,2
10,2,Processamento de Dados,Processamento de Dados,2021-01-21,2021-02-01,0,1,2021-01-10 16:24:22.440159,2021-01-10 18:22:38.927133,2
11,3,Saida de Dados,Saida de Dados,2021-02-02,2021-02-25,0,2,2021-01-10 16:25:09.814380,2021-01-10 18:23:54.585733,2
12,4,Documentação,"Documentação com diagramas, modelos...",2021-02-26,2021-03-26,2,3,2021-01-13 15:50:31.943587,2021-01-13 16:05:56.435784,2
14,5,Treinamento,Treinamento presencial e remoto,2021-03-27,2021-05-08,3,3,2021-01-13 16:58:55.570521,2021-01-13 17:26:25.297286,2
15,6,Implantação com sistema antigo,Implantação com sistema antigo,2021-05-09,2021-10-13,0,4,2021-01-13 17:57:56.289701,2021-01-19 01:18:47.158573,2
19,7,Deploy Aplicação,Configuração e deploy da app.,2021-10-14,2021-11-23,0,6,2021-01-19 01:27:48.672386,2021-01-19 01:28:04.191115,2
20,8,Manual do usuário,Manual do usuário com vídeos.,2021-11-24,2022-02-01,0,7,2021-01-19 01:58:20.215348,2021-01-19 01:58:36.492298,2
21,1,Limpeza Inicial,Limpeza inicial com remoção de terra. O valor da taxa foi emitida pelo orgão prefeitura de SP,2021-01-26,2021-02-05,12,-,2021-01-26 01:51:12.071804,2021-01-26 01:57:25.444510,7
