id,action_time,object_id,object_repr,change_message,content_type_id,user_id,action_flag
1,2020-12-28 22:21:35.043637,2,cesar,"[{""added"": {}}]",4,1,1
2,2020-12-28 22:21:49.836721,1,Cesar,"[{""added"": {}}]",18,1,1
3,2020-12-28 22:23:03.356964,3,augusto,"[{""added"": {}}]",4,1,1
4,2020-12-28 22:23:06.247638,2,Augusto,"[{""added"": {}}]",18,1,1
5,2020-12-28 22:23:43.740964,4,maria,"[{""added"": {}}]",4,1,1
6,2020-12-28 22:23:49.105666,3,Maria,"[{""added"": {}}]",18,1,1
7,2020-12-28 22:24:48.093606,5,cliente,"[{""added"": {}}]",4,1,1
8,2020-12-28 22:25:00.399267,1,Cliente - cesar,"[{""added"": {}}]",8,1,1
9,2020-12-28 22:26:18.812363,6,cliente2,"[{""added"": {}}]",4,1,1
10,2020-12-28 22:26:20.660859,2,Cliente 2,"[{""added"": {}}]",8,1,1
11,2020-12-28 22:27:11.192612,7,cliente3,"[{""added"": {}}]",4,1,1
12,2020-12-28 22:27:13.822604,3,Cliente 3,"[{""added"": {}}]",8,1,1
13,2020-12-28 22:28:17.738617,1,Cliente:Cliente - cesar,"[{""added"": {}}]",9,1,1
14,2020-12-28 22:28:56.800862,2,Cliente:Cliente 2,"[{""added"": {}}]",9,1,1
15,2020-12-28 22:29:28.992323,3,Cliente:Cliente 3,"[{""added"": {}}]",9,1,1
16,2020-12-28 22:30:49.642419,1,Tiao,"[{""added"": {}}]",11,1,1
17,2020-12-28 22:31:04.043871,2,Joao Silva,"[{""added"": {}}]",11,1,1
18,2020-12-28 22:31:25.244122,3,Fast Costa,"[{""added"": {}}]",11,1,1
19,2020-12-28 22:31:54.341138,4,RJ Fundações,"[{""added"": {}}]",11,1,1
20,2020-12-28 22:34:11.862584,1,José,"[{""added"": {}}]",12,1,1
21,2020-12-28 22:34:19.114062,1,José,[],12,1,2
22,2020-12-28 22:34:56.234508,2,Jerson,"[{""added"": {}}]",12,1,1
23,2020-12-28 22:35:37.015874,3,Gustavo,"[{""added"": {}}]",12,1,1
24,2020-12-28 22:36:49.915408,1,Terraplanagem - Cliente - cesar,"[{""added"": {}}]",13,1,1
25,2020-12-28 22:38:22.503483,2,Fundação - Cliente - cesar,"[{""added"": {}}]",13,1,1
26,2020-12-28 22:39:23.781247,3,Bota Fora - Cliente - cesar,"[{""added"": {}}]",13,1,1
27,2020-12-28 22:40:17.179327,4,Gabarito da Obra - Cliente - cesar,"[{""added"": {}}]",13,1,1
28,2020-12-28 22:42:59.537436,1,Tiao da SIlva,"[{""added"": {}}]",10,1,1
29,2020-12-28 22:43:14.242973,2,Depósito construcampos,"[{""added"": {}}]",10,1,1
30,2020-12-28 22:43:58.324882,3,Casa Da Construction,"[{""added"": {}}]",10,1,1
31,2020-12-28 22:44:01.378909,3,Casa Da Construction,[],10,1,2
32,2020-12-28 22:44:50.705923,1,Ferragem,"[{""added"": {}}]",7,1,1
33,2020-12-28 22:45:00.166845,2,Madeira,"[{""added"": {}}]",7,1,1
34,2020-12-28 22:45:09.037232,1,Prego com Cabeça 18 X 30 Ferro Polido - Cliente - cesar,"[{""added"": {}}]",14,1,1
35,2020-12-28 22:45:48.986367,2,Pontalete de madeira - Cliente - cesar,"[{""added"": {}}]",14,1,1
36,2020-12-28 22:48:28.507500,1,Prefeitura CJ,"[{""added"": {}}]",15,1,1
37,2020-12-28 22:51:06.336767,2,CONFEA,"[{""added"": {}}]",15,1,1
38,2020-12-28 22:51:34.808746,1,Taxa: Regularização - Cliente - cesar,"[{""added"": {}}]",16,1,1
39,2021-01-24 02:24:29.160999,8,usuario,"[{""added"": {}}]",4,1,1
40,2021-01-24 02:25:08.938816,8,usuario,,4,1,3
41,2021-01-24 02:26:10.951983,9,usuario,"[{""added"": {}}]",4,1,1
42,2021-01-24 02:28:19.172674,4,Usuário,"[{""added"": {}}]",18,1,1
43,2021-01-24 02:32:50.621418,11,funcionario,"[{""added"": {}}]",4,1,1
44,2021-01-24 02:34:03.499488,5,Funcionário,"[{""added"": {}}]",18,1,1
45,2021-01-24 11:27:45.887727,13,costa,"[{""added"": {}}]",4,1,1
46,2021-01-24 11:27:50.105186,6,Costa,"[{""added"": {}}]",18,1,1
47,2021-01-24 11:52:13.424097,10,cliente_cesar,,4,1,3
48,2021-01-24 11:52:13.741044,12,cliente_sistema,,4,1,3
49,2021-01-24 11:52:13.917931,13,costa,,4,1,3
50,2021-01-24 11:52:14.249494,11,funcionario,,4,1,3
51,2021-01-24 11:52:14.514321,14,guto,,4,1,3
52,2021-01-24 11:52:14.647194,4,maria,,4,1,3
53,2021-01-24 11:52:14.855808,9,usuario,,4,1,3
54,2021-01-24 12:04:24.460422,15,costa,"[{""added"": {}}]",4,1,1
55,2021-01-24 12:04:37.875366,7,Costa,"[{""added"": {}}]",18,1,1
56,2021-01-24 12:19:03.102280,16,costa1,"[{""added"": {}}]",4,1,1
57,2021-01-24 12:19:11.310736,8,Costa,"[{""added"": {}}]",18,1,1
58,2021-01-24 12:26:29.994415,15,costa,,4,1,3
59,2021-01-24 12:26:30.337150,16,costa1,,4,1,3
60,2021-01-26 01:08:59.378566,17,costa,,4,1,3
