name,seq
django_migrations,19
django_admin_log,60
django_content_type,19
auth_permission,76
auth_user,19
auth_group,0
confidencechronograms_cronograma,7
confidencechronograms_funcionario,8
confidencechronograms_cliente,8
confidencechronograms_empreiteira,6
confidencechronograms_empreiteira_cronogramas,16
confidencechronograms_funcionario_da_obra,7
confidencechronograms_mao_de_obra,41
confidencechronograms_mao_de_obra_funcionarios_da_obra,68
confidencechronograms_deposito,4
confidencechronograms_categoria,11
confidencechronograms_orgao,5
confidencechronograms_taxa,3
confidencechronograms_tarefa,21
confidencechronograms_comentario,2
confidencechronograms_material,25
confidencechronograms_tarefa_maos_de_obra,23
confidencechronograms_tarefa_materiais,17
confidencechronograms_tarefa_taxas,3
